po_number,date,medicine_id,medicine_name,quantity_ordered,unit_cost_inr,total_cost_inr,supplier_id,status
PO1003,2024-02-08,41,Nimesulide 100mg,1225,3.0,3675.0,3,DELIVERED
PO1003,2024-02-08,75,Iron + Folic Acid,2100,2.0,4200.0,5,DELIVERED
PO1004,2024-02-15,55,Rabeprazole 20mg,1344,7.0,9408.0,1,DELIVERED
PO1004,2024-02-15,83,Betamethasone Cream,336,40.0,13440.0,3,DELIVERED
PO1004,2024-02-15,13,Enalapril 5mg,1715,4.0,6860.0,5,DELIVERED
PO1004,2024-02-15,100,Sertraline 50mg,896,10.0,8960.0,4,DELIVERED
PO1004,2024-02-15,32,Norfloxacin 400mg,840,5.0,4200.0,4,DELIVERED
PO1004,2024-02-15,44,Mefenamic Acid 500mg,770,4.0,3080.0,5,DELIVERED
PO1004,2024-02-15,6,Insulin Glargine,56,450.0,25200.0,1,DELIVERED
PO1004,2024-02-15,54,Sucralfate 1g,560,6.0,3360.0,5,DELIVERED
PO1004,2024-02-15,17,Metoprolol 50mg,1792,4.5,8064.0,4,DELIVERED
PO1004,2024-02-15,9,Vildagliptin 50mg,504,18.0,9072.0,2,DELIVERED
PO1004,2024-02-15,8,Pioglitazone 15mg,980,8.0,7840.0,5,DELIVERED
PO1004,2024-02-15,68,Ipratropium Inhaler,98,180.0,17640.0,4,DELIVERED
PO1005,2024-02-22,7,Sitagliptin 100mg,525,25.0,13125.0,4,DELIVERED
PO1005,2024-02-22,69,Fluticasone Nasal Spray,105,150.0,15750.0,1,DELIVERED
PO1005,2024-02-22,28,Metronidazole 400mg,2800,3.0,8400.0,4,DELIVERED
PO1005,2024-02-22,54,Sucralfate 1g,560,6.0,3360.0,3,DELIVERED
PO1005,2024-02-22,71,Vitamin B Complex,2275,1.5,3412.5,5,DELIVERED
PO1005,2024-02-22,12,Amlodipine 10mg,840,3.5,2940.0,2,DELIVERED
PO1005,2024-02-22,98,Amitriptyline 25mg,1232,3.0,3696.0,1,DELIVERED
PO1005,2024-02-22,51,ORS Powder,4480,5.0,22400.0,2,DELIVERED
PO1005,2024-02-22,72,Vitamin C 500mg,1400,2.0,2800.0,1,DELIVERED
PO1005,2024-02-22,87,Silver Sulfadiazine,210,55.0,11550.0,4,DELIVERED
PO1005,2024-02-22,21,Spironolactone 25mg,525,8.0,4200.0,4,DELIVERED
PO1005,2024-02-22,15,Telmisartan 40mg,1064,6.0,6384.0,4,DELIVERED
PO1005,2024-02-22,38,Ibuprofen 400mg,1680,2.0,3360.0,2,DELIVERED
PO1005,2024-02-22,6,Insulin Glargine,42,450.0,18900.0,4,DELIVERED
PO1005,2024-02-22,57,Lactulose Syrup,210,85.0,17850.0,5,DELIVERED
PO1006,2024-03-01,84,Permethrin Lotion,210,60.0,12600.0,5,DELIVERED
PO1006,2024-03-01,58,Zinc Dispersible 20mg,1750,2.0,3500.0,2,DELIVERED
PO1006,2024-03-01,80,B12 Methylcobalamin,980,8.0,7840.0,5,DELIVERED
PO1006,2024-03-01,67,Theophylline 300mg,1078,5.0,5390.0,2,DELIVERED
PO1006,2024-03-01,92,Chloramphenicol Ear Drops,210,30.0,6300.0,3,DELIVERED
PO1006,2024-03-01,69,Fluticasone Nasal Spray,84,150.0,12600.0,1,DELIVERED
PO1006,2024-03-01,68,Ipratropium Inhaler,84,180.0,15120.0,5,DELIVERED
PO1006,2024-03-01,79,Zinc Sulfate 20mg,1330,2.0,2660.0,5,DELIVERED
PO1006,2024-03-01,22,Cilnidipine 10mg,924,12.0,11088.0,4,DELIVERED
PO1006,2024-03-01,9,Vildagliptin 50mg,504,18.0,9072.0,3,DELIVERED
PO1006,2024-03-01,30,Ofloxacin 200mg,1120,6.0,6720.0,1,DELIVERED
PO1006,2024-03-01,60,Budesonide Inhaler,112,250.0,28000.0,5,DELIVERED
PO1006,2024-03-01,16,Atenolol 50mg,2352,3.0,7056.0,3,DELIVERED
PO1006,2024-03-01,43,Aspirin 75mg,2310,1.0,2310.0,5,DELIVERED
PO1006,2024-03-01,23,Amoxicillin 500mg,2730,4.0,10920.0,4,DELIVERED
PO1007,2024-03-08,7,Sitagliptin 100mg,630,25.0,15750.0,3,DELIVERED
PO1007,2024-03-08,8,Pioglitazone 15mg,560,8.0,4480.0,3,DELIVERED
PO1007,2024-03-08,61,Montelukast 10mg,1260,8.0,10080.0,5,DELIVERED
PO1007,2024-03-08,81,Fluconazole 150mg,420,15.0,6300.0,5,DELIVERED
PO1007,2024-03-08,74,Calcium + D3,2695,4.0,10780.0,3,DELIVERED
PO1007,2024-03-08,23,Amoxicillin 500mg,1820,4.0,7280.0,1,DELIVERED
PO1007,2024-03-08,95,Prednisolone Eye Drops,147,65.0,9555.0,4,DELIVERED
PO1007,2024-03-08,35,Nitrofurantoin 100mg,616,8.0,4928.0,5,DELIVERED
PO1007,2024-03-08,97,Escitalopram 10mg,1008,8.0,8064.0,1,DELIVERED
PO1007,2024-03-08,55,Rabeprazole 20mg,1120,7.0,7840.0,1,DELIVERED
PO1007,2024-03-08,28,Metronidazole 400mg,2450,3.0,7350.0,2,DELIVERED
PO1007,2024-03-08,52,Loperamide 2mg,840,3.0,2520.0,1,DELIVERED
PO1007,2024-03-08,53,Dicyclomine 20mg,980,4.0,3920.0,3,DELIVERED
PO1007,2024-03-08,77,Multivitamin,2240,3.0,6720.0,5,DELIVERED
PO1007,2024-03-08,67,Theophylline 300mg,616,5.0,3080.0,3,DELIVERED
PO1007,2024-03-08,31,Cephalexin 500mg,875,10.0,8750.0,2,DELIVERED
PO1007,2024-03-08,62,Cetirizine 10mg,1750,2.0,3500.0,1,DELIVERED
PO1007,2024-03-08,45,Etoricoxib 90mg,756,15.0,11340.0,4,DELIVERED
PO1008,2024-03-15,54,Sucralfate 1g,700,6.0,4200.0,4,DELIVERED
PO1008,2024-03-15,34,Clindamycin 300mg,420,22.0,9240.0,5,DELIVERED
PO1008,2024-03-15,3,Glimepiride 1mg,1225,3.5,4287.5,1,DELIVERED
PO1008,2024-03-15,15,Telmisartan 40mg,1862,6.0,11172.0,3,DELIVERED
PO1008,2024-03-15,7,Sitagliptin 100mg,525,25.0,13125.0,4,DELIVERED
PO1008,2024-03-15,11,Amlodipine 5mg,2695,2.5,6737.5,2,DELIVERED
PO1008,2024-03-15,40,Aceclofenac 100mg,1050,5.0,5250.0,1,DELIVERED
PO1008,2024-03-15,52,Loperamide 2mg,1470,3.0,4410.0,1,DELIVERED
PO1008,2024-03-15,4,Glimepiride 2mg,1050,4.0,4200.0,1,DELIVERED
PO1008,2024-03-15,12,Amlodipine 10mg,1680,3.5,5880.0,2,DELIVERED
PO1008,2024-03-15,80,B12 Methylcobalamin,980,8.0,7840.0,1,DELIVERED
PO1008,2024-03-15,87,Silver Sulfadiazine,140,55.0,7700.0,1,DELIVERED
PO1008,2024-03-15,26,Cefixime 200mg,1470,15.0,22050.0,1,DELIVERED
PO1008,2024-03-15,27,Doxycycline 100mg,1862,5.0,9310.0,1,DELIVERED
PO1008,2024-03-15,42,Tramadol 50mg,840,8.0,6720.0,5,DELIVERED
PO1008,2024-03-15,24,Azithromycin 500mg,1470,25.0,36750.0,3,DELIVERED
PO1008,2024-03-15,1,Metformin 500mg,3920,1.5,5880.0,3,DELIVERED
PO1008,2024-03-15,56,Esomeprazole 40mg,784,10.0,7840.0,3,DELIVERED
PO1008,2024-03-15,22,Cilnidipine 10mg,616,12.0,7392.0,5,DELIVERED
PO1009,2024-03-22,82,Clotrimazole Cream,420,35.0,14700.0,5,DELIVERED
PO1009,2024-03-22,74,Calcium + D3,2310,4.0,9240.0,1,DELIVERED
PO1009,2024-03-22,47,Pantoprazole 40mg,2940,5.0,14700.0,4,DELIVERED
PO1009,2024-03-22,4,Glimepiride 2mg,875,4.0,3500.0,3,DELIVERED
PO1009,2024-03-22,71,Vitamin B Complex,2275,1.5,3412.5,3,DELIVERED
PO1009,2024-03-22,10,Gliclazide 80mg,784,5.0,3920.0,2,DELIVERED
PO1009,2024-03-22,77,Multivitamin,1120,3.0,3360.0,2,DELIVERED
PO1009,2024-03-22,91,Artificial Tears,280,50.0,14000.0,5,DELIVERED
PO1009,2024-03-22,2,Metformin 850mg,1960,2.0,3920.0,4,DELIVERED
PO1009,2024-03-22,1,Metformin 500mg,2240,1.5,3360.0,1,DELIVERED
PO1009,2024-03-22,97,Escitalopram 10mg,882,8.0,7056.0,4,DELIVERED
PO1009,2024-03-22,43,Aspirin 75mg,2310,1.0,2310.0,4,DELIVERED
PO1009,2024-03-22,53,Dicyclomine 20mg,784,4.0,3136.0,2,DELIVERED
PO1009,2024-03-22,99,Clonazepam 0.5mg,504,6.0,3024.0,5,DELIVERED
PO1009,2024-03-22,57,Lactulose Syrup,175,85.0,14875.0,2,DELIVERED
PO1009,2024-03-22,30,Ofloxacin 200mg,1344,6.0,8064.0,4,DELIVERED
PO1009,2024-03-22,46,Omeprazole 20mg,3430,3.0,10290.0,4,DELIVERED
PO1009,2024-03-22,21,Spironolactone 25mg,630,8.0,5040.0,1,DELIVERED
PO1009,2024-03-22,54,Sucralfate 1g,840,6.0,5040.0,5,DELIVERED
PO1009,2024-03-22,29,Levofloxacin 500mg,784,18.0,14112.0,3,DELIVERED
PO1010,2024-04-01,11,Amlodipine 5mg,3080,2.5,7700.0,4,DELIVERED
PO1010,2024-04-01,64,Chlorpheniramine 4mg,2240,1.0,2240.0,5,DELIVERED
PO1010,2024-04-01,44,Mefenamic Acid 500mg,1232,4.0,4928.0,5,DELIVERED
PO1010,2024-04-01,25,Ciprofloxacin 500mg,1260,8.0,10080.0,4,DELIVERED
PO1010,2024-04-01,20,Furosemide 40mg,1400,3.5,4900.0,2,DELIVERED
PO1010,2024-04-01,17,Metoprolol 50mg,896,4.5,4032.0,4,DELIVERED
PO1010,2024-04-01,92,Chloramphenicol Ear Drops,140,30.0,4200.0,3,DELIVERED
PO1010,2024-04-01,88,Ketoconazole Shampoo,112,120.0,13440.0,1,DELIVERED
PO1010,2024-04-01,80,B12 Methylcobalamin,784,8.0,6272.0,3,DELIVERED
PO1010,2024-04-01,89,Ciprofloxacin Eye Drops,280,25.0,7000.0,3,DELIVERED
PO1010,2024-04-01,87,Silver Sulfadiazine,140,55.0,7700.0,2,DELIVERED
PO1010,2024-04-01,99,Clonazepam 0.5mg,504,6.0,3024.0,5,DELIVERED
PO1010,2024-04-01,45,Etoricoxib 90mg,756,15.0,11340.0,3,DELIVERED
PO1010,2024-04-01,21,Spironolactone 25mg,630,8.0,5040.0,4,DELIVERED
PO1010,2024-04-01,51,ORS Powder,3920,5.0,19600.0,2,DELIVERED
PO1010,2024-04-01,16,Atenolol 50mg,1344,3.0,4032.0,2,DELIVERED
PO1010,2024-04-01,41,Nimesulide 100mg,1715,3.0,5145.0,1,DELIVERED
PO1011,2024-04-08,92,Chloramphenicol Ear Drops,140,30.0,4200.0,2,DELIVERED
PO1011,2024-04-08,34,Clindamycin 300mg,630,22.0,13860.0,1,DELIVERED
PO1011,2024-04-08,12,Amlodipine 10mg,840,3.5,2940.0,1,DELIVERED
PO1011,2024-04-08,74,Calcium + D3,2695,4.0,10780.0,4,DELIVERED
PO1011,2024-04-08,1,Metformin 500mg,2240,1.5,3360.0,4,DELIVERED
PO1011,2024-04-08,88,Ketoconazole Shampoo,112,120.0,13440.0,4,DELIVERED
PO1011,2024-04-08,53,Dicyclomine 20mg,784,4.0,3136.0,2,DELIVERED
PO1011,2024-04-08,52,Loperamide 2mg,840,3.0,2520.0,1,DELIVERED
PO1011,2024-04-08,77,Multivitamin,1120,3.0,3360.0,2,DELIVERED
PO1011,2024-04-08,42,Tramadol 50mg,735,8.0,5880.0,2,DELIVERED
PO1011,2024-04-08,40,Aceclofenac 100mg,1680,5.0,8400.0,2,DELIVERED
PO1011,2024-04-08,41,Nimesulide 100mg,980,3.0,2940.0,5,DELIVERED
PO1011,2024-04-08,84,Permethrin Lotion,168,60.0,10080.0,4,DELIVERED
PO1011,2024-04-08,7,Sitagliptin 100mg,525,25.0,13125.0,1,DELIVERED
PO1011,2024-04-08,70,Bromhexine 8mg,1225,3.0,3675.0,3,DELIVERED
PO1011,2024-04-08,46,Omeprazole 20mg,3430,3.0,10290.0,5,DELIVERED
PO1011,2024-04-08,61,Montelukast 10mg,1470,8.0,11760.0,3,DELIVERED
PO1012,2024-04-15,34,Clindamycin 300mg,735,22.0,16170.0,5,DELIVERED
PO1012,2024-04-15,2,Metformin 850mg,1400,2.0,2800.0,3,DELIVERED
PO1012,2024-04-15,4,Glimepiride 2mg,700,4.0,2800.0,1,DELIVERED
PO1012,2024-04-15,9,Vildagliptin 50mg,588,18.0,10584.0,3,DELIVERED
PO1012,2024-04-15,73,Vitamin D3 60000IU,525,30.0,15750.0,3,DELIVERED
PO1012,2024-04-15,86,Calamine Lotion,350,45.0,15750.0,3,DELIVERED
PO1012,2024-04-15,100,Sertraline 50mg,448,10.0,4480.0,1,DELIVERED
PO1012,2024-04-15,84,Permethrin Lotion,252,60.0,15120.0,4,DELIVERED
PO1012,2024-04-15,95,Prednisolone Eye Drops,126,65.0,8190.0,3,DELIVERED
PO1012,2024-04-15,41,Nimesulide 100mg,1715,3.0,5145.0,4,DELIVERED
PO1012,2024-04-15,38,Ibuprofen 400mg,2100,2.0,4200.0,3,DELIVERED
PO1012,2024-04-15,17,Metoprolol 50mg,1792,4.5,8064.0,2,DELIVERED
PO1012,2024-04-15,52,Loperamide 2mg,1050,3.0,3150.0,2,DELIVERED
PO1012,2024-04-15,93,Ofloxacin Ear Drops,140,40.0,5600.0,4,DELIVERED
PO1012,2024-04-15,8,Pioglitazone 15mg,840,8.0,6720.0,2,DELIVERED
PO1012,2024-04-15,91,Artificial Tears,224,50.0,11200.0,1,DELIVERED
PO1013,2024-04-22,66,Ambroxol Syrup,490,50.0,24500.0,4,DELIVERED
PO1013,2024-04-22,34,Clindamycin 300mg,630,22.0,13860.0,2,DELIVERED
PO1013,2024-04-22,52,Loperamide 2mg,840,3.0,2520.0,4,DELIVERED
PO1013,2024-04-22,8,Pioglitazone 15mg,840,8.0,6720.0,4,DELIVERED
PO1013,2024-04-22,29,Levofloxacin 500mg,1176,18.0,21168.0,3,DELIVERED
PO1013,2024-04-22,67,Theophylline 300mg,770,5.0,3850.0,2,DELIVERED
PO1013,2024-04-22,77,Multivitamin,1120,3.0,3360.0,4,DELIVERED
PO1013,2024-04-22,45,Etoricoxib 90mg,756,15.0,11340.0,5,DELIVERED
PO1013,2024-04-22,13,Enalapril 5mg,1470,4.0,5880.0,1,DELIVERED
PO1013,2024-04-22,81,Fluconazole 150mg,588,15.0,8820.0,1,DELIVERED
PO1013,2024-04-22,90,Tobramycin Eye Drops,210,45.0,9450.0,3,DELIVERED
PO1013,2024-04-22,44,Mefenamic Acid 500mg,616,4.0,2464.0,1,DELIVERED
PO1013,2024-04-22,79,Zinc Sulfate 20mg,1330,2.0,2660.0,4,DELIVERED
PO1013,2024-04-22,20,Furosemide 40mg,700,3.5,2450.0,2,DELIVERED
PO1013,2024-04-22,31,Cephalexin 500mg,1050,10.0,10500.0,4,DELIVERED
PO1013,2024-04-22,36,Paracetamol 500mg,5250,0.5,2625.0,1,DELIVERED
PO1014,2024-05-01,2,Metformin 850mg,1400,2.0,2800.0,1,DELIVERED
PO1014,2024-05-01,64,Chlorpheniramine 4mg,1680,1.0,1680.0,1,DELIVERED
PO1014,2024-05-01,70,Bromhexine 8mg,1470,3.0,4410.0,3,DELIVERED
PO1014,2024-05-01,77,Multivitamin,1680,3.0,5040.0,4,DELIVERED
PO1014,2024-05-01,88,Ketoconazole Shampoo,168,120.0,20160.0,4,DELIVERED
PO1014,2024-05-01,6,Insulin Glargine,35,450.0,15750.0,2,DELIVERED
PO1014,2024-05-01,82,Clotrimazole Cream,420,35.0,14700.0,2,DELIVERED
PO1014,2024-05-01,62,Cetirizine 10mg,2100,2.0,4200.0,5,DELIVERED
PO1014,2024-05-01,69,Fluticasone Nasal Spray,147,150.0,22050.0,2,DELIVERED
PO1014,2024-05-01,55,Rabeprazole 20mg,1568,7.0,10976.0,5,DELIVERED
PO1014,2024-05-01,74,Calcium + D3,2695,4.0,10780.0,1,DELIVERED
PO1014,2024-05-01,96,Alprazolam 0.5mg,420,5.0,2100.0,4,DELIVERED
PO1014,2024-05-01,42,Tramadol 50mg,840,8.0,6720.0,3,DELIVERED
PO1014,2024-05-01,58,Zinc Dispersible 20mg,1750,2.0,3500.0,3,DELIVERED
PO1014,2024-05-01,49,Domperidone 10mg,1400,2.5,3500.0,1,DELIVERED
PO1014,2024-05-01,7,Sitagliptin 100mg,735,25.0,18375.0,3,DELIVERED
PO1014,2024-05-01,15,Telmisartan 40mg,1064,6.0,6384.0,3,DELIVERED
PO1014,2024-05-01,72,Vitamin C 500mg,1400,2.0,2800.0,5,DELIVERED
PO1014,2024-05-01,99,Clonazepam 0.5mg,420,6.0,2520.0,4,DELIVERED
PO1014,2024-05-01,68,Ipratropium Inhaler,56,180.0,10080.0,1,DELIVERED
PO1015,2024-05-08,67,Theophylline 300mg,1232,5.0,6160.0,3,DELIVERED
PO1015,2024-05-08,42,Tramadol 50mg,525,8.0,4200.0,5,DELIVERED
PO1015,2024-05-08,80,B12 Methylcobalamin,784,8.0,6272.0,3,DELIVERED
PO1015,2024-05-08,51,ORS Powder,3360,5.0,16800.0,1,DELIVERED
PO1015,2024-05-08,72,Vitamin C 500mg,2800,2.0,5600.0,3,DELIVERED
PO1015,2024-05-08,74,Calcium + D3,2695,4.0,10780.0,5,DELIVERED
PO1015,2024-05-08,90,Tobramycin Eye Drops,175,45.0,7875.0,5,DELIVERED
PO1015,2024-05-08,58,Zinc Dispersible 20mg,1400,2.0,2800.0,5,DELIVERED
PO1015,2024-05-08,35,Nitrofurantoin 100mg,924,8.0,7392.0,4,DELIVERED
PO1015,2024-05-08,83,Betamethasone Cream,420,40.0,16800.0,4,DELIVERED
PO1015,2024-05-08,3,Glimepiride 1mg,1715,3.5,6002.5,5,DELIVERED
PO1016,2024-05-15,51,ORS Powder,2240,5.0,11200.0,5,DELIVERED
PO1016,2024-05-15,27,Doxycycline 100mg,1596,5.0,7980.0,3,DELIVERED
PO1016,2024-05-15,95,Prednisolone Eye Drops,84,65.0,5460.0,4,DELIVERED
PO1016,2024-05-15,78,Vitamin E 400IU,770,5.0,3850.0,4,DELIVERED
PO1016,2024-05-15,82,Clotrimazole Cream,560,35.0,19600.0,5,DELIVERED
PO1016,2024-05-15,23,Amoxicillin 500mg,1820,4.0,7280.0,5,DELIVERED
PO1016,2024-05-15,37,Paracetamol 650mg,5600,0.8,4480.0,1,DELIVERED
PO1016,2024-05-15,10,Gliclazide 80mg,1372,5.0,6860.0,5,DELIVERED
PO1016,2024-05-15,55,Rabeprazole 20mg,1120,7.0,7840.0,1,DELIVERED
PO1016,2024-05-15,13,Enalapril 5mg,980,4.0,3920.0,2,DELIVERED
PO1017,2024-05-22,16,Atenolol 50mg,1680,3.0,5040.0,5,DELIVERED
PO1017,2024-05-22,59,Salbutamol Inhaler,126,120.0,15120.0,4,DELIVERED
PO1017,2024-05-22,75,Iron + Folic Acid,2100,2.0,4200.0,4,DELIVERED
PO1017,2024-05-22,43,Aspirin 75mg,1925,1.0,1925.0,4,DELIVERED
PO1017,2024-05-22,78,Vitamin E 400IU,616,5.0,3080.0,3,DELIVERED
PO1017,2024-05-22,18,Ramipril 5mg,784,7.0,5488.0,2,DELIVERED
PO1017,2024-05-22,71,Vitamin B Complex,2730,1.5,4095.0,2,DELIVERED
PO1017,2024-05-22,20,Furosemide 40mg,1225,3.5,4287.5,4,DELIVERED
PO1017,2024-05-22,100,Sertraline 50mg,560,10.0,5600.0,2,DELIVERED
PO1017,2024-05-22,21,Spironolactone 25mg,525,8.0,4200.0,3,DELIVERED
PO1017,2024-05-22,27,Doxycycline 100mg,1862,5.0,9310.0,2,DELIVERED
PO1017,2024-05-22,31,Cephalexin 500mg,1225,10.0,12250.0,3,DELIVERED
PO1017,2024-05-22,11,Amlodipine 5mg,1925,2.5,4812.5,1,DELIVERED
PO1017,2024-05-22,24,Azithromycin 500mg,1470,25.0,36750.0,2,DELIVERED
PO1017,2024-05-22,50,Ondansetron 4mg,700,8.0,5600.0,5,DELIVERED
PO1017,2024-05-22,63,Levocetirizine 5mg,1764,3.0,5292.0,2,DELIVERED
PO1017,2024-05-22,64,Chlorpheniramine 4mg,1120,1.0,1120.0,4,DELIVERED
PO1017,2024-05-22,45,Etoricoxib 90mg,1008,15.0,15120.0,2,DELIVERED
PO1017,2024-05-22,1,Metformin 500mg,3920,1.5,5880.0,3,DELIVERED
PO1017,2024-05-22,89,Ciprofloxacin Eye Drops,224,25.0,5600.0,3,DELIVERED
PO1018,2024-06-01,66,Ambroxol Syrup,420,50.0,21000.0,5,DELIVERED
PO1018,2024-06-01,59,Salbutamol Inhaler,147,120.0,17640.0,4,DELIVERED
PO1018,2024-06-01,9,Vildagliptin 50mg,672,18.0,12096.0,5,DELIVERED
PO1018,2024-06-01,80,B12 Methylcobalamin,980,8.0,7840.0,4,DELIVERED
PO1018,2024-06-01,91,Artificial Tears,336,50.0,16800.0,2,DELIVERED
PO1018,2024-06-01,79,Zinc Sulfate 20mg,1862,2.0,3724.0,2,DELIVERED
PO1018,2024-06-01,37,Paracetamol 650mg,4900,0.8,3920.0,5,DELIVERED
PO1018,2024-06-01,19,Hydrochlorothiazide 25mg,1680,2.0,3360.0,4,DELIVERED
PO1018,2024-06-01,44,Mefenamic Acid 500mg,770,4.0,3080.0,2,DELIVERED
PO1018,2024-06-01,7,Sitagliptin 100mg,840,25.0,21000.0,1,DELIVERED
PO1018,2024-06-01,85,Mupirocin Ointment,392,75.0,29400.0,1,DELIVERED
PO1018,2024-06-01,43,Aspirin 75mg,1925,1.0,1925.0,5,DELIVERED
PO1018,2024-06-01,73,Vitamin D3 60000IU,525,30.0,15750.0,1,DELIVERED
PO1018,2024-06-01,18,Ramipril 5mg,980,7.0,6860.0,3,DELIVERED
PO1018,2024-06-01,29,Levofloxacin 500mg,784,18.0,14112.0,1,DELIVERED
PO1018,2024-06-01,83,Betamethasone Cream,336,40.0,13440.0,2,DELIVERED
PO1018,2024-06-01,1,Metformin 500mg,2800,1.5,4200.0,1,DELIVERED
PO1018,2024-06-01,99,Clonazepam 0.5mg,336,6.0,2016.0,1,DELIVERED
PO1018,2024-06-01,74,Calcium + D3,2695,4.0,10780.0,3,DELIVERED
PO1018,2024-06-01,47,Pantoprazole 40mg,2100,5.0,10500.0,3,DELIVERED
PO1019,2024-06-08,6,Insulin Glargine,49,450.0,22050.0,2,DELIVERED
PO1019,2024-06-08,23,Amoxicillin 500mg,3640,4.0,14560.0,3,DELIVERED
PO1019,2024-06-08,34,Clindamycin 300mg,735,22.0,16170.0,1,DELIVERED
PO1019,2024-06-08,52,Loperamide 2mg,1680,3.0,5040.0,3,DELIVERED
PO1019,2024-06-08,74,Calcium + D3,1925,4.0,7700.0,5,DELIVERED
PO1019,2024-06-08,36,Paracetamol 500mg,4200,0.5,2100.0,2,DELIVERED
PO1019,2024-06-08,68,Ipratropium Inhaler,98,180.0,17640.0,1,DELIVERED
PO1019,2024-06-08,100,Sertraline 50mg,896,10.0,8960.0,3,DELIVERED
PO1019,2024-06-08,37,Paracetamol 650mg,5600,0.8,4480.0,4,DELIVERED
PO1019,2024-06-08,92,Chloramphenicol Ear Drops,280,30.0,8400.0,2,DELIVERED
PO1019,2024-06-08,94,Timolol Eye Drops,196,55.0,10780.0,5,DELIVERED
PO1019,2024-06-08,14,Losartan 50mg,1470,5.0,7350.0,1,DELIVERED
PO1019,2024-06-08,22,Cilnidipine 10mg,770,12.0,9240.0,1,DELIVERED
PO1019,2024-06-08,28,Metronidazole 400mg,2450,3.0,7350.0,5,DELIVERED
PO1019,2024-06-08,18,Ramipril 5mg,980,7.0,6860.0,2,DELIVERED
PO1019,2024-06-08,17,Metoprolol 50mg,1568,4.5,7056.0,1,DELIVERED
PO1019,2024-06-08,24,Azithromycin 500mg,1960,25.0,49000.0,1,DELIVERED
